2025-02-15 04:06:10 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:06:10 | INFO | Successfully stored 0 new jobs
2025-02-15 04:06:15 | INFO | Email sent successfully: Job Scraping Report - 0 New Jobs
2025-02-15 04:06:15 | INFO | Function scrape_and_process_jobs took 315.96 seconds
2025-02-15 04:12:28 | INFO | Shutting down the application...
2025-02-15 04:12:28 | INFO | Application shutdown completed successfully
2025-02-15 04:12:31 | INFO | Starting up the application...
2025-02-15 04:12:31 | INFO | Database tables created successfully
2025-02-15 04:12:31 | INFO | Scheduled daily job scraping for 4:01
2025-02-15 04:12:31 | INFO | Application startup completed successfully
2025-02-15 04:12:31 | INFO | Shutting down the application...
2025-02-15 04:12:31 | INFO | Application shutdown completed successfully
2025-02-15 04:12:45 | INFO | Starting up the application...
2025-02-15 04:12:45 | INFO | Database tables created successfully
2025-02-15 04:12:45 | INFO | Scheduled daily job scraping for 4:13
2025-02-15 04:12:45 | INFO | Application startup completed successfully
2025-02-15 04:13:00 | INFO | Starting job scraping at 2025-02-15 04:13:00.007401
2025-02-15 04:13:00 | INFO | Starting job scraping...
2025-02-15 04:13:03 | INFO | Accessing https://www.jobfound.org/
2025-02-15 04:13:19 | INFO | Collecting job URLs...
2025-02-15 04:13:27 | INFO | Found 40 unique job URLs
2025-02-15 04:17:43 | INFO | Popup dismissed
2025-02-15 04:18:16 | INFO | Successfully scraped 20 jobs
2025-02-15 04:18:19 | INFO | Function scrape_jobs took 319.35 seconds
2025-02-15 04:18:19 | INFO | Found 20 jobs from scraping
2025-02-15 04:18:19 | INFO | Storing jobs in database...
2025-02-15 04:18:19 | INFO | Found 20 new jobs to store
2025-02-15 04:18:19 | INFO | Attempting to store 20 jobs
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
2025-02-15 04:18:19 | ERROR | Error preparing job for storage: module 'datetime' has no attribute 'strptime'
